2026-03-27 11:29:38,771 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/sun0115/.netrc.
wandb: Currently logged in as: sunshines (sunshines-gmail-com) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run kdsrbko5
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /home/sun0115/nanochat-learn/nanochat/wandb/run-20260327_112939-kdsrbko5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run d24_r32_lora_nextbest_2026-03-27_1129_s1536_gc
wandb: ⭐️ View project at https://wandb.ai/sunshines-gmail-com/nanochat-sft
wandb: 🚀 View run at https://wandb.ai/sunshines-gmail-com/nanochat-sft/runs/kdsrbko5
2026-03-27 11:29:40,220 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/sun0115/.cache/nanochat/base_checkpoints/d24_asp48_track with step 820230
2026-03-27 11:29:42,113 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 32768, 'n_layer': 24, 'n_head': 9, 'n_kv_head': 9, 'n_embd': 1152, 'window_pattern': 'L'}
Gradient checkpointing enabled (activation recomputation in backward)
Skipping torch.compile in LoRA mode for stability
LoRA enabled: rank=64, alpha=128.0
Applied LoRA to 120 layers
Trainable params: 23,003,136 / 933,694,896 (2.46%)
Skipping torch.compile in LoRA mode for stability
Tokens / micro-batch / rank: 1 x 1536 = 1,536
Tokens / micro-batch: 1,536
Total batch size 7,680 => gradient accumulation steps: 5
Using AdamW optimizer for LoRA params with lr=0.0001
Generating train split:   0%|          | 0/7473 [00:00<?, ? examples/s]Generating train split: 100%|██████████| 7473/7473 [00:00<00:00, 388517.45 examples/s]
Generating test split:   0%|          | 0/1319 [00:00<?, ? examples/s]Generating test split: 100%|██████████| 1319/1319 [00:00<00:00, 404377.38 examples/s]
step 00028 (2.80%) | loss: 2.417308 | lrm: 0.14 | dt: 906.99ms | tok/sec: 8,467 | mfu: 2.86 | epoch: 1 | total time: 0.28m
step 00029 (2.90%) | loss: 2.413267 | lrm: 0.14 | dt: 907.80ms | tok/sec: 8,459 | mfu: 2.85 | epoch: 1 | total time: 0.30m
step 00030 (3.00%) | loss: 2.423866 | lrm: 0.15 | dt: 921.19ms | tok/sec: 8,337 | mfu: 2.81 | epoch: 1 | total time: 0.31m
step 00031 (3.10%) | loss: 2.397184 | lrm: 0.15 | dt: 1028.57ms | tok/sec: 7,466 | mfu: 2.52 | epoch: 1 | total time: 0.33m
step 00032 (3.20%) | loss: 2.458795 | lrm: 0.16 | dt: 907.35ms | tok/sec: 8,464 | mfu: 2.86 | epoch: 1 | total time: 0.34m
step 00033 (3.30%) | loss: 2.473098 | lrm: 0.17 | dt: 908.11ms | tok/sec: 8,457 | mfu: 2.85 | epoch: 1 | total time: 0.36m
step 00034 (3.40%) | loss: 2.457439 | lrm: 0.17 | dt: 732.79ms | tok/sec: 10,480 | mfu: 3.54 | epoch: 1 | total time: 0.37m
step 00035 (3.50%) | loss: 2.405166 | lrm: 0.18 | dt: 907.27ms | tok/sec: 8,464 | mfu: 2.86 | epoch: 1 | total time: 0.39m
step 00036 (3.60%) | loss: 2.400033 | lrm: 0.18 | dt: 1026.50ms | tok/sec: 7,481 | mfu: 2.52 | epoch: 1 | total time: 0.40m
step 00037 (3.70%) | loss: 2.369180 | lrm: 0.18 | dt: 918.72ms | tok/sec: 8,359 | mfu: 2.82 | epoch: 1 | total time: 0.42m
step 00038 (3.80%) | loss: 2.357662 | lrm: 0.19 | dt: 927.82ms | tok/sec: 8,277 | mfu: 2.79 | epoch: 1 | total time: 0.43m
step 00039 (3.90%) | loss: 2.373333 | lrm: 0.19 | dt: 907.93ms | tok/sec: 8,458 | mfu: 2.85 | epoch: 1 | total time: 0.45m
step 00040 (4.00%) | loss: 2.411768 | lrm: 0.20 | dt: 914.19ms | tok/sec: 8,400 | mfu: 2.83 | epoch: 1 | total time: 0.46m
step 00041 (4.10%) | loss: 2.408352 | lrm: 0.20 | dt: 850.91ms | tok/sec: 9,025 | mfu: 3.05 | epoch: 1 | total time: 0.48m
step 00042 (4.20%) | loss: 2.371121 | lrm: 0.21 | dt: 757.83ms | tok/sec: 10,134 | mfu: 3.42 | epoch: 1 | total time: 0.49m
step 00043 (4.30%) | loss: 2.368455 | lrm: 0.21 | dt: 906.91ms | tok/sec: 8,468 | mfu: 2.86 | epoch: 1 | total time: 0.51m
step 00044 (4.40%) | loss: 2.351843 | lrm: 0.22 | dt: 907.19ms | tok/sec: 8,465 | mfu: 2.86 | epoch: 1 | total time: 0.52m
step 00045 (4.50%) | loss: 2.357274 | lrm: 0.22 | dt: 935.53ms | tok/sec: 8,209 | mfu: 2.77 | epoch: 1 | total time: 0.54m
step 00046 (4.60%) | loss: 2.287848 | lrm: 0.23 | dt: 1027.99ms | tok/sec: 7,470 | mfu: 2.52 | epoch: 1 | total time: 0.55m
step 00047 (4.70%) | loss: 2.277079 | lrm: 0.23 | dt: 906.15ms | tok/sec: 8,475 | mfu: 2.86 | epoch: 1 | total time: 0.57m
step 00048 (4.80%) | loss: 2.263816 | lrm: 0.24 | dt: 907.83ms | tok/sec: 8,459 | mfu: 2.85 | epoch: 1 | total time: 0.58m
step 00049 (4.90%) | loss: 2.282073 | lrm: 0.24 | dt: 912.88ms | tok/sec: 8,412 | mfu: 2.84 | epoch: 1 | total time: 0.60m
step 00050 (5.00%) | loss: 2.299311 | lrm: 0.25 | dt: 909.83ms | tok/sec: 8,441 | mfu: 2.85 | epoch: 1 | total time: 0.62m
Step 00050 | Validation bpb: 0.7001
2026-03-27 11:32:54,445 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved model parameters to: /home/sun0115/.cache/nanochat/chatsft_checkpoints/d24_r32_lora_nextbest_2026-03-27_1129_s1536_gc/best/model_000050.pt
2026-03-27 11:32:54,446 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved metadata to: /home/sun0115/.cache/nanochat/chatsft_checkpoints/d24_r32_lora_nextbest_2026-03-27_1129_s1536_gc/best/meta_000050.json
Saved best checkpoint at step 50 (val_bpb=0.7001)
step 00051 (5.10%) | loss: 2.292184 | lrm: 0.25 | dt: 1095.11ms | tok/sec: 7,012 | mfu: 2.37 | epoch: 1 | total time: 0.63m
step 00052 (5.20%) | loss: 2.291060 | lrm: 0.26 | dt: 913.64ms | tok/sec: 8,405 | mfu: 2.84 | epoch: 1 | total time: 0.65m
step 00053 (5.30%) | loss: 2.334171 | lrm: 0.26 | dt: 910.39ms | tok/sec: 8,435 | mfu: 2.85 | epoch: 1 | total time: 0.66m
