seed	rc	status	run_base	chain_log	summary	gsm8k_pass1_pct	gsm8k_pass8_pct	mmlu_pct	spellingbee_pct
44	0	full_confirm_complete	reasoning_manual_v1_fixeds768_seed44	/home/sun0115/nanochat-learn/notes/sft_reasoning_manual_v1_fixeds768_seed44_2026-04-01_2216_chain.log	/home/sun0115/nanochat-learn/notes/reasoning_manual_v1_fixeds768_seed44_2026-04-01_2216_s768_gc_best_s300_confirm_summary_1000_2026-04-01_2322.txt	nan	6.20	26.30	0.00
45	2	quick_gate_failed	reasoning_manual_v1_fixeds768_seed45	/home/sun0115/nanochat-learn/notes/sft_reasoning_manual_v1_fixeds768_seed45_2026-04-02_0257_chain.log	/home/sun0115/nanochat-learn/notes/reasoning_manual_v1_fixeds768_seed45_2026-04-02_0257_s768_gc_best_s300_confirm_summary_500_2026-04-02_0304.txt	0.80	nan	23.60	nan
