2026-02-10 11:56:06,247 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
2026-02-10 11:56:06,252 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/sun0115/.cache/nanochat/base_checkpoints/d18 with step 5000
2026-02-10 11:56:07,918 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 512, 'vocab_size': 32768, 'n_layer': 18, 'n_head': 18, 'n_kv_head': 18, 'n_embd': 1152, 'window_pattern': 'L'}
2026-02-10 11:56:35,680 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved model parameters to: /home/sun0115/.cache/nanochat/chatsft_checkpoints/d18_5k/best/model_000000.pt
2026-02-10 11:56:35,680 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Saved metadata to: /home/sun0115/.cache/nanochat/chatsft_checkpoints/d18_5k/best/meta_000000.json
Autodetected device type: cuda
Tokens / micro-batch / rank: 4 x 2048 = 8,192
Tokens / micro-batch: 8,192
Total batch size 8,192 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1152/768) = 0.816497
Using AdamW-only mode for fine-tuning (no Muon)
Step 00000 | Validation bpb: 1.0125
Saved best checkpoint at step 0 (val_bpb=1.0125)
step 00033 (6.60%) | loss: 7.842964 | lrm: 0.66 | dt: 28901.96ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 11.08m
step 00034 (6.80%) | loss: 7.781924 | lrm: 0.68 | dt: 28872.80ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 11.56m
step 00035 (7.00%) | loss: 7.713394 | lrm: 0.70 | dt: 28887.79ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 12.04m
step 00036 (7.20%) | loss: 7.669062 | lrm: 0.72 | dt: 28871.44ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 12.52m
step 00037 (7.40%) | loss: 7.609890 | lrm: 0.74 | dt: 28847.20ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 13.00m
step 00038 (7.60%) | loss: 7.592893 | lrm: 0.76 | dt: 28887.76ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 13.48m
step 00039 (7.80%) | loss: 7.545707 | lrm: 0.78 | dt: 28886.45ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 13.97m
step 00040 (8.00%) | loss: 7.533696 | lrm: 0.80 | dt: 28883.02ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 14.45m
step 00041 (8.20%) | loss: 7.542535 | lrm: 0.82 | dt: 28842.94ms | tok/sec: 284 | mfu: 0.06 | epoch: 1 | total time: 14.93m
step 00042 (8.40%) | loss: 7.513301 | lrm: 0.84 | dt: 28869.59ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 15.41m
step 00043 (8.60%) | loss: 7.468465 | lrm: 0.86 | dt: 28862.16ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 15.89m
step 00044 (8.80%) | loss: 7.441046 | lrm: 0.88 | dt: 28884.59ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 16.37m
step 00045 (9.00%) | loss: 7.445063 | lrm: 0.90 | dt: 28872.75ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 16.85m
step 00046 (9.20%) | loss: 7.434095 | lrm: 0.92 | dt: 28875.34ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 17.33m
step 00047 (9.40%) | loss: 7.566918 | lrm: 0.94 | dt: 28853.22ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 17.81m
step 00048 (9.60%) | loss: 7.644739 | lrm: 0.96 | dt: 28869.19ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 18.30m
step 00049 (9.80%) | loss: 7.656762 | lrm: 0.98 | dt: 28978.12ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 18.78m
step 00050 (10.00%) | loss: 7.665299 | lrm: 1.00 | dt: 28963.70ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 19.26m
Step 00050 | Validation bpb: 2.4488
step 00051 (10.20%) | loss: 7.645479 | lrm: 1.00 | dt: 28939.09ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 19.74m
step 00052 (10.40%) | loss: 7.774576 | lrm: 1.00 | dt: 28935.07ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 20.23m
step 00053 (10.60%) | loss: 7.788397 | lrm: 1.00 | dt: 28967.19ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 20.71m
step 00054 (10.80%) | loss: 7.778562 | lrm: 1.00 | dt: 28935.85ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 21.19m
step 00055 (11.00%) | loss: 7.772712 | lrm: 1.00 | dt: 28895.45ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 21.67m
step 00056 (11.20%) | loss: 7.763965 | lrm: 1.00 | dt: 28915.88ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 22.15m
step 00057 (11.40%) | loss: 7.699902 | lrm: 1.00 | dt: 28868.44ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 22.64m
step 00058 (11.60%) | loss: 7.667287 | lrm: 1.00 | dt: 28888.95ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 23.12m
step 00059 (11.80%) | loss: 7.655853 | lrm: 1.00 | dt: 28890.18ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 23.60m
step 00060 (12.00%) | loss: 7.617153 | lrm: 1.00 | dt: 28906.30ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 24.08m
step 00061 (12.20%) | loss: 7.596375 | lrm: 1.00 | dt: 28883.59ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 24.56m
step 00062 (12.40%) | loss: 7.527004 | lrm: 1.00 | dt: 28992.41ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 25.04m
step 00063 (12.60%) | loss: 7.473845 | lrm: 1.00 | dt: 28885.45ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 25.53m
step 00064 (12.80%) | loss: 7.435285 | lrm: 1.00 | dt: 28885.94ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 26.01m
step 00065 (13.00%) | loss: 7.386305 | lrm: 1.00 | dt: 28882.53ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 26.49m
step 00066 (13.20%) | loss: 7.373563 | lrm: 1.00 | dt: 28846.38ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 26.97m
step 00067 (13.40%) | loss: 7.303577 | lrm: 1.00 | dt: 28822.67ms | tok/sec: 284 | mfu: 0.06 | epoch: 1 | total time: 27.45m
step 00068 (13.60%) | loss: 7.282804 | lrm: 1.00 | dt: 28838.39ms | tok/sec: 284 | mfu: 0.06 | epoch: 1 | total time: 27.93m
step 00069 (13.80%) | loss: 7.262799 | lrm: 1.00 | dt: 29167.32ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 28.42m
step 00070 (14.00%) | loss: 7.291043 | lrm: 1.00 | dt: 29529.80ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 28.91m
step 00071 (14.20%) | loss: 7.249335 | lrm: 1.00 | dt: 29531.07ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 29.40m
step 00072 (14.40%) | loss: 7.212415 | lrm: 1.00 | dt: 29566.92ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 29.89m
step 00073 (14.60%) | loss: 7.192061 | lrm: 1.00 | dt: 29539.46ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 30.39m
step 00074 (14.80%) | loss: 7.200983 | lrm: 1.00 | dt: 29512.32ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 30.88m
step 00075 (15.00%) | loss: 7.178719 | lrm: 1.00 | dt: 29557.52ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 31.37m
step 00076 (15.20%) | loss: 7.147075 | lrm: 1.00 | dt: 29548.33ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 31.86m
step 00077 (15.40%) | loss: 7.148530 | lrm: 1.00 | dt: 29597.89ms | tok/sec: 276 | mfu: 0.06 | epoch: 1 | total time: 32.36m
step 00078 (15.60%) | loss: 7.116071 | lrm: 1.00 | dt: 29528.21ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 32.85m
step 00079 (15.80%) | loss: 7.061529 | lrm: 1.00 | dt: 29556.47ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 33.34m
step 00080 (16.00%) | loss: 7.065580 | lrm: 1.00 | dt: 29543.61ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 33.83m
step 00081 (16.20%) | loss: 7.095399 | lrm: 1.00 | dt: 29532.72ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 34.33m
step 00082 (16.40%) | loss: 7.056694 | lrm: 1.00 | dt: 29739.44ms | tok/sec: 275 | mfu: 0.06 | epoch: 1 | total time: 34.82m
step 00083 (16.60%) | loss: 7.063888 | lrm: 1.00 | dt: 29564.03ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 35.31m
step 00084 (16.80%) | loss: 7.035313 | lrm: 1.00 | dt: 29555.94ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 35.81m
step 00085 (17.00%) | loss: 7.017369 | lrm: 1.00 | dt: 29527.50ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 36.30m
step 00086 (17.20%) | loss: 6.990284 | lrm: 1.00 | dt: 29253.66ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 36.79m
step 00087 (17.40%) | loss: 6.981812 | lrm: 1.00 | dt: 28971.23ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 37.27m
step 00088 (17.60%) | loss: 6.965376 | lrm: 1.00 | dt: 29079.36ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 37.75m
step 00089 (17.80%) | loss: 6.919535 | lrm: 1.00 | dt: 29240.00ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 38.24m
step 00090 (18.00%) | loss: 6.916146 | lrm: 1.00 | dt: 29341.85ms | tok/sec: 279 | mfu: 0.06 | epoch: 1 | total time: 38.73m
step 00091 (18.20%) | loss: 6.913963 | lrm: 1.00 | dt: 29191.25ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 39.22m
step 00092 (18.40%) | loss: 6.846341 | lrm: 1.00 | dt: 28936.48ms | tok/sec: 283 | mfu: 0.06 | epoch: 1 | total time: 39.70m
step 00093 (18.60%) | loss: 6.750263 | lrm: 1.00 | dt: 29129.56ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 40.18m
step 00094 (18.80%) | loss: 6.737661 | lrm: 1.00 | dt: 29082.36ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 40.67m
step 00095 (19.00%) | loss: 6.718158 | lrm: 1.00 | dt: 29100.13ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 41.15m
step 00096 (19.20%) | loss: 6.672781 | lrm: 1.00 | dt: 29193.57ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 41.64m
step 00097 (19.40%) | loss: 6.659865 | lrm: 1.00 | dt: 29473.37ms | tok/sec: 277 | mfu: 0.06 | epoch: 1 | total time: 42.13m
step 00098 (19.60%) | loss: 6.615528 | lrm: 1.00 | dt: 29614.15ms | tok/sec: 276 | mfu: 0.06 | epoch: 1 | total time: 42.63m
step 00099 (19.80%) | loss: 6.550531 | lrm: 1.00 | dt: 29164.17ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 43.11m
step 00100 (20.00%) | loss: 6.532252 | lrm: 1.00 | dt: 29113.10ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 43.60m
Step 00100 | Validation bpb: 2.1581
step 00101 (20.20%) | loss: 6.502231 | lrm: 1.00 | dt: 29117.80ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 44.08m
step 00102 (20.40%) | loss: 6.469073 | lrm: 1.00 | dt: 29196.97ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 44.57m
step 00103 (20.60%) | loss: 6.474395 | lrm: 1.00 | dt: 29207.72ms | tok/sec: 280 | mfu: 0.06 | epoch: 1 | total time: 45.06m
step 00104 (20.80%) | loss: 6.463402 | lrm: 1.00 | dt: 29077.89ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 45.54m
step 00105 (21.00%) | loss: 6.421132 | lrm: 1.00 | dt: 29067.65ms | tok/sec: 281 | mfu: 0.06 | epoch: 1 | total time: 46.02m
step 00106 (21.20%) | loss: 6.389624 | lrm: 1.00 | dt: 29046.49ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 46.51m
step 00107 (21.40%) | loss: 6.319095 | lrm: 1.00 | dt: 29038.64ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 46.99m
step 00108 (21.60%) | loss: 6.277075 | lrm: 1.00 | dt: 29024.82ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 47.48m
step 00109 (21.80%) | loss: 6.269668 | lrm: 1.00 | dt: 29374.45ms | tok/sec: 278 | mfu: 0.06 | epoch: 1 | total time: 47.97m
step 00110 (22.00%) | loss: 6.227830 | lrm: 1.00 | dt: 29043.46ms | tok/sec: 282 | mfu: 0.06 | epoch: 1 | total time: 48.45m
